Order_ID,Date,Customer_Age,Gender,City,Product_Category,Channel,Ad_Spend_NGN,Revenue_NGN,Repeat_Customer,Device_Used,Payment_Method,Profit_NGN
1001,2025-07-01,46,Male,Lagos,Home Appliances,Google Ads,5253,18404,Yes,Desktop,Card,7522
1002,2025-07-02,32,Female,Lagos,Home Appliances,Google Ads,1742,5861,No,Mobile,Bank Transfer,-1070
1003,2025-07-03,25,Female,Port Harcourt,Home Appliances,Facebook Ads,1306,28095,No,Mobile,Card,22041
1004,2025-07-04,38,Female,Ibadan,Fashion,Facebook Ads,3849,14275,Yes,Mobile,Bank Transfer,6760
1005,2025-07-05,36,Female,Abuja,Electronics,Organic,4168,22033,No,Mobile,Bank Transfer,12799
1006,2025-07-06,40,Male,Lagos,Fashion,WhatsApp Referrals,4576,9134,No,Desktop,Card,1117
1007,2025-07-07,28,Male,Enugu,Groceries,Instagram Ads,4655,16803,Yes,Desktop,Bank Transfer,9081
1008,2025-07-08,28,Female,Port Harcourt,Fashion,Instagram Ads,4840,20408,No,Mobile,Card,9345
1009,2025-07-09,41,Female,Abuja,Groceries,Instagram Ads,5562,28971,No,Desktop,Card,18486
1010,2025-07-10,53,Female,Port Harcourt,Groceries,WhatsApp Referrals,4195,22420,No,Desktop,Bank Transfer,11972
1011,2025-07-11,41,Male,Abuja,Beauty,Instagram Ads,5178,21351,No,Mobile,Card,10317
1012,2025-07-12,20,Female,Abuja,Home Appliances,Instagram Ads,2555,9131,No,Mobile,Bank Transfer,3750
1013,2025-07-13,39,Female,Kano,Groceries,Organic,2305,23532,Yes,Desktop,Card,13241
1014,2025-07-14,19,Female,Lagos,Beauty,Facebook Ads,4508,17057,Yes,Mobile,Bank Transfer,5942
1015,2025-07-15,41,Male,Port Harcourt,Home Appliances,Facebook Ads,1088,16349,Yes,Desktop,COD,9276
1016,2025-07-16,47,Male,Port Harcourt,Groceries,Google Ads,2642,16486,No,Mobile,Bank Transfer,9752
1017,2025-07-17,19,Male,Kano,Groceries,WhatsApp Referrals,1177,10457,Yes,Mobile,Card,4101
1018,2025-07-18,38,Male,Enugu,Fashion,Facebook Ads,6104,11079,Yes,Mobile,COD,-1563
1019,2025-07-19,50,Male,Enugu,Fashion,Instagram Ads,6409,17453,No,Mobile,Card,5143
1020,2025-07-20,29,Male,Lagos,Home Appliances,Instagram Ads,4916,23814,No,Desktop,Card,14536
1021,2025-07-21,39,Male,Lagos,Groceries,Instagram Ads,4757,23263,No,Mobile,Card,14282
1022,2025-07-22,42,Male,Ibadan,Electronics,Google Ads,2994,17158,Yes,Mobile,Card,10438
1023,2025-07-23,44,Female,Kano,Fashion,Instagram Ads,559,20735,Yes,Desktop,COD,16170
1024,2025-07-24,45,Female,Enugu,Home Appliances,Instagram Ads,2964,20830,No,Mobile,Card,10075
1025,2025-07-25,33,Male,Abuja,Groceries,Instagram Ads,1271,20125,Yes,Mobile,Bank Transfer,16588
1026,2025-07-26,32,Male,Port Harcourt,Groceries,Google Ads,1813,16905,Yes,Desktop,Bank Transfer,12255
1027,2025-07-27,20,Female,Lagos,Electronics,Google Ads,2915,28926,No,Desktop,Card,19427
1028,2025-07-28,54,Male,Port Harcourt,Home Appliances,Organic,609,17298,No,Mobile,Bank Transfer,9892
1029,2025-07-29,24,Male,Port Harcourt,Groceries,Facebook Ads,2461,7011,No,Mobile,Card,1864
1030,2025-07-30,38,Male,Ibadan,Fashion,Organic,4120,8373,No,Mobile,Card,-1108
1031,2025-07-31,26,Female,Enugu,Electronics,Organic,6124,15335,No,Mobile,Card,2120
1032,2025-08-01,35,Female,Lagos,Home Appliances,Instagram Ads,283,28741,Yes,Mobile,COD,26102
1033,2025-08-02,21,Female,Port Harcourt,Electronics,Instagram Ads,5568,15692,No,Mobile,COD,4309
1034,2025-08-03,42,Female,Lagos,Fashion,Instagram Ads,2928,19527,Yes,Mobile,Card,13728
1035,2025-08-04,31,Female,Abuja,Home Appliances,Facebook Ads,4396,17773,Yes,Mobile,Card,9404
1036,2025-08-05,26,Male,Ibadan,Electronics,Instagram Ads,1091,6289,No,Mobile,Bank Transfer,-1449
1037,2025-08-06,43,Female,Abuja,Beauty,Facebook Ads,5126,6447,Yes,Mobile,Card,-2489
1038,2025-08-07,19,Male,Lagos,Fashion,Instagram Ads,816,24583,No,Desktop,COD,17349
1039,2025-08-08,37,Male,Lagos,Fashion,Organic,82,27765,Yes,Desktop,Bank Transfer,23042
1040,2025-08-09,45,Female,Enugu,Fashion,Instagram Ads,1920,28906,No,Mobile,Card,22758
1041,2025-08-10,24,Female,Port Harcourt,Beauty,Organic,3491,27443,No,Mobile,COD,18561
1042,2025-08-11,25,Male,Port Harcourt,Beauty,Google Ads,3144,24567,Yes,Mobile,Card,15245
1043,2025-08-12,52,Male,Abuja,Groceries,Organic,2093,19139,Yes,Mobile,COD,12696
1044,2025-08-13,31,Male,Ibadan,Electronics,Google Ads,4713,18757,No,Mobile,COD,7687
1045,2025-08-14,34,Female,Kano,Groceries,Facebook Ads,6405,10462,No,Mobile,Card,-2822
